Dataset Name,Model Name,Attack Field,Attack Type,Accuracy,Precision,Recall,F1 Score
D1,LstmVgg,Text,Text Bugger,0.624324122,0.688583201,0.628840766,0.656387222
RECOVERY,LstmVgg,Text,Text Bugger,0.729369376,0.780156343,0.721633012,0.798962956
D1,BertVgg,Text,Text Fooler,0.699471057,0.747010513,0.667705275,0.726994989
RECOVERY,BertVgg,Text,Text Fooler,0.692718555,0.741483933,0.719370686,0.749161239
D1,CnnVgg,Text,Text Fooler,0.699424481,0.754023219,0.706076247,0.731942708
RECOVERY,CnnVgg,Text,Text Fooler,0.763809345,0.828468641,0.747032922,0.754404377
D1,LstmVgg,Text,Text Fooler,0.694244418,0.720520743,0.657196512,0.709919225
RECOVERY,LstmVgg,Text,Text Fooler,0.78615687,0.783599175,0.757786507,0.797183762
D1,BertVgg,Text,LLM Semantic Attack,0.680115937,0.783047196,0.651616473,0.705426895
RECOVERY,BertVgg,Text,LLM Semantic Attack,0.695740448,0.718592256,0.741159256,0.727999126
D1,CnnVgg,Text,LLM Semantic Attack,0.751838434,0.74510325,0.765723958,0.749385288
RECOVERY,CnnVgg,Text,LLM Semantic Attack,0.730839769,0.76493131,0.788214109,0.796462892
D1,LstmVgg,Text,LLM Semantic Attack,0.710681801,0.784061717,0.618834565,0.710085268
RECOVERY,LstmVgg,Text,LLM Semantic Attack,0.751740031,0.798397038,0.723166742,0.769342672
D1,BertVgg,Text,LLM Grammar Distortion Attack,0.696195067,0.783129155,0.664989199,0.709310022
RECOVERY,BertVgg,Text,LLM Grammar Distortion Attack,0.722360678,0.726846248,0.744344583,0.744005682
D1,CnnVgg,Text,LLM Grammar Distortion Attack,0.678619868,0.681386239,0.698049292,0.7052554
RECOVERY,CnnVgg,Text,LLM Grammar Distortion Attack,0.742669948,0.729054898,0.823658502,0.762436274
D1,LstmVgg,Text,LLM Grammar Distortion Attack,0.663008179,0.739332863,0.632018196,0.686700324
RECOVERY,LstmVgg,Text,LLM Grammar Distortion Attack,0.78665621,0.80724092,0.737155171,0.749517998
